=== Simulation Start ===
[Config] Weapon: シンデレラ's RL
[Config] Type: CHARGE (Class: RL)
[Config] Max Ammo: 50
[Config] Fire Interval (RAPID default): 5
[Shoot] 時間: 22.00s | 弾数: 48/50  | ペレット: 1 (Hit:1) | Dmg:    61,796 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x7 (Val:0.11)]
[Skill] 時間: 22.00s | 名前:Skill 1: 追加ダメージ           | Dmg:    78,867 | Hits:1
[Shoot] 時間: 22.35s | 弾数: 47/50  | ペレット: 1 (Hit:1) | Dmg:    74,155 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x7 (Val:0.11)]
[Skill] 時間: 22.35s | 名前:Skill 1: 追加ダメージ           | Dmg:    78,867 | Hits:1
[Shoot] 時間: 22.70s | 弾数: 46/50  | ペレット: 1 (Hit:1) | Dmg:    61,796 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x7 (Val:0.11)]
[Skill] 時間: 22.70s | 名前:Skill 1: 追加ダメージ           | Dmg:    78,867 | Hits:1
[Shoot] 時間: 23.05s | 弾数: 45/50  | ペレット: 1 (Hit:1) | Dmg:    61,796 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x7 (Val:0.11)]
[Skill] 時間: 23.05s | 名前:Skill 1: 追加ダメージ           | Dmg:   105,155 | Hits:1
[Shoot] 時間: 23.40s | 弾数: 44/50  | ペレット: 1 (Hit:1) | Dmg:    61,796 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x7 (Val:0.11)]
[Skill] 時間: 23.40s | 名前:Skill 1: 追加ダメージ           | Dmg:    78,867 | Hits:1
[Shoot] 時間: 23.75s | 弾数: 43/50  | ペレット: 1 (Hit:1) | Dmg:    61,796 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x7 (Val:0.11)]
[Skill] 時間: 23.75s | 名前:Skill 1: 追加ダメージ           | Dmg:   105,155 | Hits:1
[Shoot] 時間: 24.10s | 弾数: 42/50  | ペレット: 1 (Hit:1) | Dmg:    62,291 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x8 (Val:0.13)]
[Skill] 時間: 24.10s | 名前:Skill 1: 追加ダメージ           | Dmg:    79,498 | Hits:1
[Shoot] 時間: 24.45s | 弾数: 41/50  | ペレット: 1 (Hit:1) | Dmg:    62,291 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x8 (Val:0.13)]
[Skill] 時間: 24.45s | 名前:Skill 1: 追加ダメージ           | Dmg:   105,998 | Hits:1
[Shoot] 時間: 24.80s | 弾数: 40/50  | ペレット: 1 (Hit:1) | Dmg:    74,749 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x8 (Val:0.13)]
[Skill] 時間: 24.80s | 名前:Skill 1: 追加ダメージ           | Dmg:    79,498 | Hits:1
[Shoot] 時間: 25.15s | 弾数: 39/50  | ペレット: 1 (Hit:1) | Dmg:    62,291 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x8 (Val:0.13)]
[Skill] 時間: 25.15s | 名前:Skill 1: 追加ダメージ           | Dmg:   105,998 | Hits:1
[Shoot] 時間: 25.50s | 弾数: 38/50  | ペレット: 1 (Hit:1) | Dmg:    62,291 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x8 (Val:0.13)]
[Skill] 時間: 25.50s | 名前:Skill 1: 追加ダメージ           | Dmg:    79,498 | Hits:1
[Shoot] 時間: 25.85s | 弾数: 37/50  | ペレット: 1 (Hit:1) | Dmg:    62,291 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x8 (Val:0.13)]
[Skill] 時間: 25.85s | 名前:Skill 1: 追加ダメージ           | Dmg:    79,498 | Hits:1
[Shoot] 時間: 26.20s | 弾数: 36/50  | ペレット: 1 (Hit:1) | Dmg:    62,291 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x8 (Val:0.13)]
[Skill] 時間: 26.20s | 名前:Skill 1: 追加ダメージ           | Dmg:    79,498 | Hits:1
[Shoot] 時間: 26.55s | 弾数: 35/50  | ペレット: 1 (Hit:1) | Dmg:    62,291 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x8 (Val:0.13)]
[Skill] 時間: 26.55s | 名前:Skill 1: 追加ダメージ           | Dmg:    79,498 | Hits:1
[Shoot] 時間: 26.90s | 弾数: 34/50  | ペレット: 1 (Hit:1) | Dmg:    62,291 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x8 (Val:0.13)]
[Skill] 時間: 26.90s | 名前:Skill 1: 追加ダメージ           | Dmg:    79,498 | Hits:1
[Shoot] 時間: 27.25s | 弾数: 33/50  | ペレット: 1 (Hit:1) | Dmg:    62,786 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x9 (Val:0.14)]
[Skill] 時間: 27.25s | 名前:Skill 1: 追加ダメージ           | Dmg:   106,840 | Hits:1
[Shoot] 時間: 27.60s | 弾数: 32/50  | ペレット: 1 (Hit:1) | Dmg:    62,786 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x9 (Val:0.14)]
[Skill] 時間: 27.60s | 名前:Skill 1: 追加ダメージ           | Dmg:    80,130 | Hits:1
[Shoot] 時間: 27.95s | 弾数: 31/50  | ペレット: 1 (Hit:1) | Dmg:    62,786 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x9 (Val:0.14)]
[Skill] 時間: 27.95s | 名前:Skill 1: 追加ダメージ           | Dmg:    80,130 | Hits:1
[Shoot] 時間: 28.30s | 弾数: 30/50  | ペレット: 1 (Hit:1) | Dmg:    62,786 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x9 (Val:0.14)]
[Skill] 時間: 28.30s | 名前:Skill 1: 追加ダメージ           | Dmg:   106,840 | Hits:1
[Shoot] 時間: 28.65s | 弾数: 29/50  | ペレット: 1 (Hit:1) | Dmg:    75,344 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x9 (Val:0.14)]
[Skill] 時間: 28.65s | 名前:Skill 1: 追加ダメージ           | Dmg:    80,130 | Hits:1
[Shoot] 時間: 29.00s | 弾数: 28/50  | ペレット: 1 (Hit:1) | Dmg:    62,786 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x9 (Val:0.14)]
[Skill] 時間: 29.00s | 名前:Skill 1: 追加ダメージ           | Dmg:    80,130 | Hits:1
[Shoot] 時間: 29.35s | 弾数: 27/50  | ペレット: 1 (Hit:1) | Dmg:    62,786 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x9 (Val:0.14)]
[Skill] 時間: 29.35s | 名前:Skill 1: 追加ダメージ           | Dmg:   106,840 | Hits:1
[Shoot] 時間: 29.70s | 弾数: 26/50  | ペレット: 1 (Hit:1) | Dmg:    62,786 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x9 (Val:0.14)]
[Skill] 時間: 29.70s | 名前:Skill 1: 追加ダメージ           | Dmg:    80,130 | Hits:1
[Shoot] 時間: 30.05s | 弾数: 25/50  | ペレット: 1 (Hit:1) | Dmg:    63,281 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x10 (Val:0.16)]
[Skill] 時間: 30.05s | 名前:Skill 1: 追加ダメージ           | Dmg:   107,683 | Hits:1
[Shoot] 時間: 30.40s | 弾数: 24/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x10 (Val:0.16)]
[Skill] 時間: 30.40s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 30.75s | 弾数: 23/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x10 (Val:0.16)]
